"location","Cd5","Cd20","Cr5","Cr20","Cu5","Cu20","Fe5","Fe20","Mn5","Mn20","Ni5","Ni20","Pb5","Pb20","Zn5","Zn20","river"
1,11.98554898321271,10.248266643559822,222.6264228745429,201.70410750949952,53.07368590082269,47.12796663800027,21082.42294948743,21115.64228562776,560.6946581608063,539.5099746124465,26.564667518542237,28.18578036008496,125.5616926977306,110.01662816214157,669.7808980662825,566.8738802043043,"1"
2,18.87978032658098,21.305590294078076,380.835213895428,472.99683916755293,87.10535372538567,98.22006188694338,26086.565207464813,27674.41645005959,585.1738761911564,439.72201634478046,30.23035413673068,31.932810254764707,228.3267933462795,249.6157768597146,1308.6743039252317,1500.2074611494784,"1"
3,18.596573461949852,25.293862290744695,367.93159835213925,471.0800712496514,85.19597280142493,99.34695916642845,26505.51301699715,28401.947874834987,496.1380100985262,492.5562325949747,29.31519225215577,32.593912074027934,242.45428336587062,271.70864658817163,1338.8758296381513,1579.7561615582908,"1"
4,29.26619704952923,28.375579911415404,509.72100939944295,536.5089229421588,81.3327070295561,107.37870110993207,26227.868930065702,31017.349202655238,507.9277084716111,445.9943367640993,29.815369242957132,35.302712482929586,220.86275498900127,283.0429730057809,1311.174315910377,1696.8871097830972,"1"
5,27.33829851044687,16.642949547218628,459.4521643506949,374.8830729425814,80.17194841547537,89.43576475271172,26673.331333933154,25223.07360599728,492.95211436569025,375.19156134938805,30.209437168849348,30.453776495173653,240.26791962411278,256.0553288884467,1356.359758739045,1399.9071217699939,"1"
6,26.75482955698816,16.87231654061554,446.9163785310341,284.42600207552033,75.38131376956011,90.2057244302603,27968.347822158637,28081.931379189733,646.2481644208146,519.316534803067,32.6379121537591,33.31600187032419,216.5108292974452,268.1002066703347,1217.5929941421753,1247.816195886593,"1"
7,11.548972671055257,7.609502894789378,230.08178735288251,163.21621082052303,65.51117095551567,52.95518067478538,23758.228605625376,24895.188660411262,488.3403151805307,537.3527650229587,27.50149611011371,28.15082850868437,155.99441452224218,131.08404871231784,815.9884300817876,580.0425900046582,"1"
8,17.179218967921898,21.849109465679412,395.0488145048814,489.8539123474084,91.93016537158796,107.53452071242747,28797.237165438,30719.76519244881,532.7156804144252,501.3107864718832,31.7652918908149,34.90394236541925,232.54632396891807,283.7202321392836,1329.7469615461246,1656.193716229738,"1"
9,39.296270581233884,26.9041424854913,975.0545526681215,650.8405043025815,99.04384050783575,116.65499299579746,35077.03497983205,33646.18771262757,683.7433048998215,513.3079847908746,37.15135885736957,37.86171703021813,255.22713747272368,305.49329597758657,1654.59895523375,1771.69635114402,"1"
10,33.07842352705811,15.41363862618218,693.1379413824147,340.65206570433054,101.8005401620486,103.67346938775509,32274.34897135808,27464.410154305628,517.5852755826747,482.9268292682927,35.32559767930379,32.341961174713795,298.29948984695403,308.1134892981583,1901.8438864992831,1452.4970963995356,"1"
11,6.0256909109049195,6.669548271037378,130.4749077122618,142.14971017389567,31.317968672054267,34.494303417949226,17239.349496158833,17701.77893264042,570.2983138780804,574.1754947031782,19.54255213010077,21.295222866280234,74.0466926070039,83.98860683589847,345.458778143603,386.61802918249055,"0"
12,18.786014405762298,8.6408,384.9589835934374,200.855,70.54321728691477,51.866,28172.60237428304,24931.333333333336,750.890356142457,582.55,29.437775110044015,28.3895,194.00760304121647,135.62,1024.909963985594,606.71,"0"
13,11.140969600635804,6.368913108689131,235.06358036956092,146.69533046695332,51.678919133717464,38.861113888611136,23737.33359825154,23093.024030930246,534.2837273991655,520.5979402059795,28.192429962249157,27.448255174482554,146.2149811245778,106.96930306969303,668.7661434532089,434.74652534746525,"0"
14,4.8696848424212105,3.532556511302261,118.43421710855425,92.62302460492099,33.22111055527764,25.553610722144427,21606.803401700847,25633.12662532507,563.2516258129065,699.2398479695938,25.27163581790895,27.796059211842365,82.46223111555777,65.77015403080615,323.4784058696015,241.38494365539776,"0"
15,5.5751725517655295,19.84515484515485,124.4373311993598,100.48101898101898,32.20866259877963,26.336163836163838,19375.479310459803,19469.796869796868,440.37211163349,464.0459540459541,23.44553366009803,23.392107892107894,95.35360608182455,78.96503496503497,368.70727885032176,281.4119214119214,"0"
16,9.117975845892804,6.556470940683044,186.8250324383671,141.16237267825048,46.043018265295935,38.486119432794084,26650.03160661409,25138.139937420947,561.3135043417506,621.4999001398043,30.491566024553347,28.068703814659475,132.4782912466314,108.52806071499899,569.7508068004125,431.95526263231477,"0"
17,16.317868213178677,10.160499999999999,309.2240775922408,196.855,66.06039396060395,50.7085,27213.945272139455,25112,632.5467453254676,623.77,32.367763223677635,29.776000000000003,195.13048695130487,145.42,921.7744892177449,639.34,"0"
18,9.26944194868723,5.417357849505347,180.34840770689829,116.9431398021385,43.981231905760204,31.598381133206754,22358.65694985192,21950.634555810935,551.4425476689627,556.1506945138403,27.40041928721174,25.617567702608174,131.76599780373363,88.06935145398222,574.9026654687032,356.8335498484394,"0"
19,23.604106448719225,10.588874617132696,426.62214691517994,209.51487007212725,79.50164457290938,63.06590257879656,30781.753546629454,25662.813292494156,627.9178710256155,546.5369034680367,33.74514103458586,29.87649441754767,226.45270606996905,173.3919573164707,1190.1724309777735,738.3789480617858,"1"
